seqID,shortSeq,startTime,endTime,seqDuration,numberOfPhotos,numberOfDifferentPOIs,photoID,poiID,poiName,poiTheme,poiLat,poiLon,dateTaken,unixTimestamp,userID
4,True,2018-11-10 13:24:12,2018-11-10 13:24:30,18,2,1,1,19,Museum_of_Illusions_Athens_-_Greece,Museum,37.977066,23.722942,2018-11-10 13:24:12,1541856252,100721644@N08
4,True,2018-11-10 13:24:12,2018-11-10 13:24:30,18,2,1,2,19,Museum_of_Illusions_Athens_-_Greece,Museum,37.977066,23.722942,2018-11-10 13:24:30,1541856270,100721644@N08
6,True,2017-03-18 16:32:03,2017-03-18 16:34:14,131,2,1,3,15,Hellenic_Motor_Museum,Museum,37.9914349,23.7299098,2017-03-18 16:32:03,1489854723,100768432@N08
6,True,2017-03-18 16:32:03,2017-03-18 16:34:14,131,2,1,4,15,Hellenic_Motor_Museum,Museum,37.9914349,23.7299098,2017-03-18 16:34:14,1489854854,100768432@N08
10,True,2017-02-18 15:00:49,2017-02-18 15:17:10,981,6,1,5,9,Byzantine_And_Christian_Museum,Museum,37.9754096,23.7445869,2017-02-18 15:00:49,1487430049,101005415@N02
10,True,2017-02-18 15:00:49,2017-02-18 15:17:10,981,6,1,6,9,Byzantine_And_Christian_Museum,Museum,37.9754096,23.7445869,2017-02-18 15:04:40,1487430280,101005415@N02
10,True,2017-02-18 15:00:49,2017-02-18 15:17:10,981,6,1,7,9,Byzantine_And_Christian_Museum,Museum,37.9754096,23.7445869,2017-02-18 15:05:21,1487430321,101005415@N02
10,True,2017-02-18 15:00:49,2017-02-18 15:17:10,981,6,1,8,9,Byzantine_And_Christian_Museum,Museum,37.9754096,23.7445869,2017-02-18 15:10:32,1487430632,101005415@N02
10,True,2017-02-18 15:00:49,2017-02-18 15:17:10,981,6,1,9,9,Byzantine_And_Christian_Museum,Museum,37.9754096,23.7445869,2017-02-18 15:11:35,1487430695,101005415@N02
10,True,2017-02-18 15:00:49,2017-02-18 15:17:10,981,6,1,10,9,Byzantine_And_Christian_Museum,Museum,37.9754096,23.7445869,2017-02-18 15:17:10,1487431030,101005415@N02
18,True,2018-06-22 22:07:31,2018-06-22 23:03:16,3345,5,1,11,12,Syntagma_(Constitution)_Square,Historical,37.9755433,23.7348515,2018-06-22 22:07:31,1529705251,101005415@N02
18,True,2018-06-22 22:07:31,2018-06-22 23:03:16,3345,5,1,12,12,Syntagma_(Constitution)_Square,Historical,37.9755433,23.7348515,2018-06-22 22:19:16,1529705956,101005415@N02
18,True,2018-06-22 22:07:31,2018-06-22 23:03:16,3345,5,1,13,12,Syntagma_(Constitution)_Square,Historical,37.9755433,23.7348515,2018-06-22 22:49:05,1529707745,101005415@N02
18,True,2018-06-22 22:07:31,2018-06-22 23:03:16,3345,5,1,14,12,Syntagma_(Constitution)_Square,Historical,37.9755433,23.7348515,2018-06-22 23:03:00,1529708580,101005415@N02
18,True,2018-06-22 22:07:31,2018-06-22 23:03:16,3345,5,1,15,12,Syntagma_(Constitution)_Square,Historical,37.9755433,23.7348515,2018-06-22 23:03:16,1529708596,101005415@N02
24,True,2017-09-24 10:02:50,2017-09-24 10:27:02,1452,2,1,16,1,Acropolis_of_Athens,Historical,37.9715323,23.7257492,2017-09-24 10:02:50,1506247370,102897707@N03
24,True,2017-09-24 10:02:50,2017-09-24 10:27:02,1452,2,1,17,1,Acropolis_of_Athens,Historical,37.9715323,23.7257492,2017-09-24 10:27:02,1506248822,102897707@N03
26,True,2018-02-11 18:47:01,2018-02-11 19:40:23,3202,2,1,18,23,Athens_University_History_Museum,Museum,37.9731575,23.7269076,2018-02-11 18:47:01,1518374821,102897707@N03
26,True,2018-02-11 18:47:01,2018-02-11 19:40:23,3202,2,1,19,23,Athens_University_History_Museum,Museum,37.9731575,23.7269076,2018-02-11 19:40:23,1518378023,102897707@N03
27,True,2017-08-01 18:06:58,2017-08-01 18:14:30,452,2,1,20,12,Syntagma_(Constitution)_Square,Historical,37.9755433,23.7348515,2017-08-01 18:06:58,1501610818,103468177@N08
27,True,2017-08-01 18:06:58,2017-08-01 18:14:30,452,2,1,21,12,Syntagma_(Constitution)_Square,Historical,37.9755433,23.7348515,2017-08-01 18:14:30,1501611270,103468177@N08
40,False,2017-09-19 19:29:23,2017-09-20 00:25:25,17762,51,3,24,1,Acropolis_of_Athens,Historical,37.9715323,23.7257492,2017-09-19 19:29:23,1505849363,10566322@N05
40,False,2017-09-19 19:29:23,2017-09-20 00:25:25,17762,51,3,25,1,Acropolis_of_Athens,Historical,37.9715323,23.7257492,2017-09-19 19:32:02,1505849522,10566322@N05
40,False,2017-09-19 19:29:23,2017-09-20 00:25:25,17762,51,3,26,1,Acropolis_of_Athens,Historical,37.9715323,23.7257492,2017-09-19 19:33:40,1505849620,10566322@N05
40,False,2017-09-19 19:29:23,2017-09-20 00:25:25,17762,51,3,27,1,Acropolis_of_Athens,Historical,37.9715323,23.7257492,2017-09-19 19:35:10,1505849710,10566322@N05
40,False,2017-09-19 19:29:23,2017-09-20 00:25:25,17762,51,3,28,1,Acropolis_of_Athens,Historical,37.9715323,23.7257492,2017-09-19 19:35:55,1505849755,10566322@N05
40,False,2017-09-19 19:29:23,2017-09-20 00:25:25,17762,51,3,29,1,Acropolis_of_Athens,Historical,37.9715323,23.7257492,2017-09-19 19:37:21,1505849841,10566322@N05
40,False,2017-09-19 19:29:23,2017-09-20 00:25:25,17762,51,3,30,1,Acropolis_of_Athens,Historical,37.9715323,23.7257492,2017-09-19 19:38:18,1505849898,10566322@N05
40,False,2017-09-19 19:29:23,2017-09-20 00:25:25,17762,51,3,31,1,Acropolis_of_Athens,Historical,37.9715323,23.7257492,2017-09-19 19:41:02,1505850062,10566322@N05
40,False,2017-09-19 19:29:23,2017-09-20 00:25:25,17762,51,3,32,1,Acropolis_of_Athens,Historical,37.9715323,23.7257492,2017-09-19 19:44:49,1505850289,10566322@N05
40,False,2017-09-19 19:29:23,2017-09-20 00:25:25,17762,51,3,33,1,Acropolis_of_Athens,Historical,37.9715323,23.7257492,2017-09-19 19:45:11,1505850311,10566322@N05
40,False,2017-09-19 19:29:23,2017-09-20 00:25:25,17762,51,3,34,1,Acropolis_of_Athens,Historical,37.9715323,23.7257492,2017-09-19 19:45:21,1505850321,10566322@N05
40,False,2017-09-19 19:29:23,2017-09-20 00:25:25,17762,51,3,35,1,Acropolis_of_Athens,Historical,37.9715323,23.7257492,2017-09-19 19:47:35,1505850455,10566322@N05
40,False,2017-09-19 19:29:23,2017-09-20 00:25:25,17762,51,3,36,1,Acropolis_of_Athens,Historical,37.9715323,23.7257492,2017-09-19 19:48:10,1505850490,10566322@N05
40,False,2017-09-19 19:29:23,2017-09-20 00:25:25,17762,51,3,37,1,Acropolis_of_Athens,Historical,37.9715323,23.7257492,2017-09-19 19:53:47,1505850827,10566322@N05
40,False,2017-09-19 19:29:23,2017-09-20 00:25:25,17762,51,3,38,1,Acropolis_of_Athens,Historical,37.9715323,23.7257492,2017-09-19 19:54:07,1505850847,10566322@N05
40,False,2017-09-19 19:29:23,2017-09-20 00:25:25,17762,51,3,39,1,Acropolis_of_Athens,Historical,37.9715323,23.7257492,2017-09-19 19:54:46,1505850886,10566322@N05
40,False,2017-09-19 19:29:23,2017-09-20 00:25:25,17762,51,3,40,1,Acropolis_of_Athens,Historical,37.9715323,23.7257492,2017-09-19 19:56:04,1505850964,10566322@N05
40,False,2017-09-19 19:29:23,2017-09-20 00:25:25,17762,51,3,41,1,Acropolis_of_Athens,Historical,37.9715323,23.7257492,2017-09-19 19:56:53,1505851013,10566322@N05
40,False,2017-09-19 19:29:23,2017-09-20 00:25:25,17762,51,3,42,1,Acropolis_of_Athens,Historical,37.9715323,23.7257492,2017-09-19 19:58:17,1505851097,10566322@N05
40,False,2017-09-19 19:29:23,2017-09-20 00:25:25,17762,51,3,43,1,Acropolis_of_Athens,Historical,37.9715323,23.7257492,2017-09-19 20:00:35,1505851235,10566322@N05
40,False,2017-09-19 19:29:23,2017-09-20 00:25:25,17762,51,3,44,1,Acropolis_of_Athens,Historical,37.9715323,23.7257492,2017-09-19 20:15:34,1505852134,10566322@N05
40,False,2017-09-19 19:29:23,2017-09-20 00:25:25,17762,51,3,45,1,Acropolis_of_Athens,Historical,37.9715323,23.7257492,2017-09-19 20:16:05,1505852165,10566322@N05
40,False,2017-09-19 19:29:23,2017-09-20 00:25:25,17762,51,3,46,1,Acropolis_of_Athens,Historical,37.9715323,23.7257492,2017-09-19 20:18:11,1505852291,10566322@N05
40,False,2017-09-19 19:29:23,2017-09-20 00:25:25,17762,51,3,47,1,Acropolis_of_Athens,Historical,37.9715323,23.7257492,2017-09-19 20:20:21,1505852421,10566322@N05
40,False,2017-09-19 19:29:23,2017-09-20 00:25:25,17762,51,3,48,1,Acropolis_of_Athens,Historical,37.9715323,23.7257492,2017-09-19 20:21:01,1505852461,10566322@N05
40,False,2017-09-19 19:29:23,2017-09-20 00:25:25,17762,51,3,49,1,Acropolis_of_Athens,Historical,37.9715323,23.7257492,2017-09-19 20:29:29,1505852969,10566322@N05
40,False,2017-09-19 19:29:23,2017-09-20 00:25:25,17762,51,3,50,1,Acropolis_of_Athens,Historical,37.9715323,23.7257492,2017-09-19 20:29:59,1505852999,10566322@N05
40,False,2017-09-19 19:29:23,2017-09-20 00:25:25,17762,51,3,51,1,Acropolis_of_Athens,Historical,37.9715323,23.7257492,2017-09-19 20:32:32,1505853152,10566322@N05
40,False,2017-09-19 19:29:23,2017-09-20 00:25:25,17762,51,3,52,1,Acropolis_of_Athens,Historical,37.9715323,23.7257492,2017-09-19 20:33:03,1505853183,10566322@N05
40,False,2017-09-19 19:29:23,2017-09-20 00:25:25,17762,51,3,53,1,Acropolis_of_Athens,Historical,37.9715323,23.7257492,2017-09-19 20:33:13,1505853193,10566322@N05
40,False,2017-09-19 19:29:23,2017-09-20 00:25:25,17762,51,3,54,1,Acropolis_of_Athens,Historical,37.9715323,23.7257492,2017-09-19 20:34:01,1505853241,10566322@N05
40,False,2017-09-19 19:29:23,2017-09-20 00:25:25,17762,51,3,55,1,Acropolis_of_Athens,Historical,37.9715323,23.7257492,2017-09-19 20:34:28,1505853268,10566322@N05
40,False,2017-09-19 19:29:23,2017-09-20 00:25:25,17762,51,3,56,1,Acropolis_of_Athens,Historical,37.9715323,23.7257492,2017-09-19 20:49:58,1505854198,10566322@N05
40,False,2017-09-19 19:29:23,2017-09-20 00:25:25,17762,51,3,57,1,Acropolis_of_Athens,Historical,37.9715323,23.7257492,2017-09-19 20:54:33,1505854473,10566322@N05
40,False,2017-09-19 19:29:23,2017-09-20 00:25:25,17762,51,3,58,4,National_Archaeological_Museum,Museum,37.9890229,23.7327599,2017-09-19 21:09:13,1505855353,10566322@N05
40,False,2017-09-19 19:29:23,2017-09-20 00:25:25,17762,51,3,59,4,National_Archaeological_Museum,Museum,37.9890229,23.7327599,2017-09-19 21:12:08,1505855528,10566322@N05
40,False,2017-09-19 19:29:23,2017-09-20 00:25:25,17762,51,3,60,4,National_Archaeological_Museum,Museum,37.9890229,23.7327599,2017-09-19 21:16:49,1505855809,10566322@N05
40,False,2017-09-19 19:29:23,2017-09-20 00:25:25,17762,51,3,61,4,National_Archaeological_Museum,Museum,37.9890229,23.7327599,2017-09-19 21:20:39,1505856039,10566322@N05
40,False,2017-09-19 19:29:23,2017-09-20 00:25:25,17762,51,3,62,4,National_Archaeological_Museum,Museum,37.9890229,23.7327599,2017-09-19 21:24:25,1505856265,10566322@N05
40,False,2017-09-19 19:29:23,2017-09-20 00:25:25,17762,51,3,63,4,National_Archaeological_Museum,Museum,37.9890229,23.7327599,2017-09-19 21:28:38,1505856518,10566322@N05
40,False,2017-09-19 19:29:23,2017-09-20 00:25:25,17762,51,3,64,4,National_Archaeological_Museum,Museum,37.9890229,23.7327599,2017-09-19 21:29:51,1505856591,10566322@N05
40,False,2017-09-19 19:29:23,2017-09-20 00:25:25,17762,51,3,65,4,National_Archaeological_Museum,Museum,37.9890229,23.7327599,2017-09-19 21:32:41,1505856761,10566322@N05
40,False,2017-09-19 19:29:23,2017-09-20 00:25:25,17762,51,3,66,4,National_Archaeological_Museum,Museum,37.9890229,23.7327599,2017-09-19 21:33:49,1505856829,10566322@N05
40,False,2017-09-19 19:29:23,2017-09-20 00:25:25,17762,51,3,67,4,National_Archaeological_Museum,Museum,37.9890229,23.7327599,2017-09-19 21:48:06,1505857686,10566322@N05
40,False,2017-09-19 19:29:23,2017-09-20 00:25:25,17762,51,3,68,4,National_Archaeological_Museum,Museum,37.9890229,23.7327599,2017-09-19 22:38:29,1505860709,10566322@N05
40,False,2017-09-19 19:29:23,2017-09-20 00:25:25,17762,51,3,69,4,National_Archaeological_Museum,Museum,37.9890229,23.7327599,2017-09-19 22:39:22,1505860762,10566322@N05
40,False,2017-09-19 19:29:23,2017-09-20 00:25:25,17762,51,3,70,4,National_Archaeological_Museum,Museum,37.9890229,23.7327599,2017-09-19 22:39:56,1505860796,10566322@N05
40,False,2017-09-19 19:29:23,2017-09-20 00:25:25,17762,51,3,71,4,National_Archaeological_Museum,Museum,37.9890229,23.7327599,2017-09-19 22:40:01,1505860801,10566322@N05
40,False,2017-09-19 19:29:23,2017-09-20 00:25:25,17762,51,3,72,4,National_Archaeological_Museum,Museum,37.9890229,23.7327599,2017-09-19 22:40:09,1505860809,10566322@N05
40,False,2017-09-19 19:29:23,2017-09-20 00:25:25,17762,51,3,73,5,Temple_of_Olympian_Zeus,Historical,37.9693,23.7331,2017-09-20 00:19:06,1505866746,10566322@N05
40,False,2017-09-19 19:29:23,2017-09-20 00:25:25,17762,51,3,74,5,Temple_of_Olympian_Zeus,Historical,37.9693,23.7331,2017-09-20 00:25:25,1505867125,10566322@N05
45,True,2018-03-10 22:52:21,2018-03-10 23:03:17,656,4,1,75,12,Syntagma_(Constitution)_Square,Historical,37.9755433,23.7348515,2018-03-10 22:52:21,1520722341,106391491@N02
45,True,2018-03-10 22:52:21,2018-03-10 23:03:17,656,4,1,76,12,Syntagma_(Constitution)_Square,Historical,37.9755433,23.7348515,2018-03-10 22:55:22,1520722522,106391491@N02
45,True,2018-03-10 22:52:21,2018-03-10 23:03:17,656,4,1,77,12,Syntagma_(Constitution)_Square,Historical,37.9755433,23.7348515,2018-03-10 22:59:08,1520722748,106391491@N02
45,True,2018-03-10 22:52:21,2018-03-10 23:03:17,656,4,1,78,12,Syntagma_(Constitution)_Square,Historical,37.9755433,23.7348515,2018-03-10 23:03:17,1520722997,106391491@N02
49,True,2018-03-12 22:10:48,2018-03-12 23:47:25,5797,4,1,79,12,Syntagma_(Constitution)_Square,Historical,37.9755433,23.7348515,2018-03-12 22:10:48,1520892648,106391491@N02
49,True,2018-03-12 22:10:48,2018-03-12 23:47:25,5797,4,1,80,12,Syntagma_(Constitution)_Square,Historical,37.9755433,23.7348515,2018-03-12 23:44:40,1520898280,106391491@N02
49,True,2018-03-12 22:10:48,2018-03-12 23:47:25,5797,4,1,81,12,Syntagma_(Constitution)_Square,Historical,37.9755433,23.7348515,2018-03-12 23:45:24,1520898324,106391491@N02
49,True,2018-03-12 22:10:48,2018-03-12 23:47:25,5797,4,1,82,12,Syntagma_(Constitution)_Square,Historical,37.9755433,23.7348515,2018-03-12 23:47:25,1520898445,106391491@N02
50,True,2018-03-13 12:33:22,2018-03-13 13:36:39,3797,11,1,83,12,Syntagma_(Constitution)_Square,Historical,37.9755433,23.7348515,2018-03-13 12:33:22,1520944402,106391491@N02
50,True,2018-03-13 12:33:22,2018-03-13 13:36:39,3797,11,1,84,12,Syntagma_(Constitution)_Square,Historical,37.9755433,23.7348515,2018-03-13 12:34:52,1520944492,106391491@N02
50,True,2018-03-13 12:33:22,2018-03-13 13:36:39,3797,11,1,85,12,Syntagma_(Constitution)_Square,Historical,37.9755433,23.7348515,2018-03-13 12:51:25,1520945485,106391491@N02
50,True,2018-03-13 12:33:22,2018-03-13 13:36:39,3797,11,1,86,12,Syntagma_(Constitution)_Square,Historical,37.9755433,23.7348515,2018-03-13 13:03:23,1520946203,106391491@N02
50,True,2018-03-13 12:33:22,2018-03-13 13:36:39,3797,11,1,87,12,Syntagma_(Constitution)_Square,Historical,37.9755433,23.7348515,2018-03-13 13:12:18,1520946738,106391491@N02
50,True,2018-03-13 12:33:22,2018-03-13 13:36:39,3797,11,1,88,12,Syntagma_(Constitution)_Square,Historical,37.9755433,23.7348515,2018-03-13 13:31:19,1520947879,106391491@N02
50,True,2018-03-13 12:33:22,2018-03-13 13:36:39,3797,11,1,89,12,Syntagma_(Constitution)_Square,Historical,37.9755433,23.7348515,2018-03-13 13:32:29,1520947949,106391491@N02
