seqID,shortSeq,startTime,endTime,seqDuration,numberOfPhotos,numberOfDifferentPOIs,photoID,poiID,poiName,poiTheme,poiLat,poiLon,dateTaken,unixTimestamp,userID
2,True,2009-05-24 12:35:17,2009-05-24 12:35:42,25,2,1,3563396553,29,Doh%C3%A1ny_Street_Synagogue,Museum,47.49583,19.06083,2009-05-24 12:35:17,1243168517,10131865@N02
2,True,2009-05-24 12:35:17,2009-05-24 12:35:42,25,2,1,3564212768,29,Doh%C3%A1ny_Street_Synagogue,Museum,47.49583,19.06083,2009-05-24 12:35:42,1243168542,10131865@N02
3,False,2013-05-31 13:38:58,2013-05-31 14:08:44,1786,3,3,9800881585,3,Gresham_Palace,Historical,47.4997472,19.0479806,2013-05-31 13:38:58,1370007538,101655764@N06
3,False,2013-05-31 13:38:58,2013-05-31 14:08:44,1786,3,3,12542876345,14,Erzs%C3%A9bet_Bridge,Transport,47.49083,19.04889,2013-05-31 13:52:36,1370008356,101655764@N06
3,False,2013-05-31 13:38:58,2013-05-31 14:08:44,1786,3,3,11842180674,4,Buda_Castle,Historical,47.49611,19.03972,2013-05-31 14:08:44,1370009324,101655764@N06
5,True,2013-06-02 04:05:24,2013-06-02 07:00:10,10486,2,2,10169986683,21,Great_Market_Hall_(Budapest),Shopping,47.48667,19.05889,2013-06-02 04:05:24,1370145924,101655764@N06
5,True,2013-06-02 04:05:24,2013-06-02 07:00:10,10486,2,2,9800965803,19,Liberty_Statue_(Budapest),Parks and spaces,47.48639,19.04806,2013-06-02 07:00:10,1370156410,101655764@N06
10,False,2009-02-28 03:18:17,2009-02-28 08:06:16,17279,11,3,3360238995,8,Matthias_Church,Cultural,47.50194,19.03417,2009-02-28 03:18:17,1235791097,10189504@N06
10,False,2009-02-28 03:18:17,2009-02-28 08:06:16,17279,11,3,3360246667,1,S%C3%A1ndor_Palace,Historical,47.4978,19.0378,2009-02-28 03:34:39,1235792079,10189504@N06
10,False,2009-02-28 03:18:17,2009-02-28 08:06:16,17279,11,3,3361069486,1,S%C3%A1ndor_Palace,Historical,47.4978,19.0378,2009-02-28 03:35:59,1235792159,10189504@N06
10,False,2009-02-28 03:18:17,2009-02-28 08:06:16,17279,11,3,3361083964,6,House_of_Terror,Museum,47.50694,19.06528,2009-02-28 06:36:01,1235802961,10189504@N06
10,False,2009-02-28 03:18:17,2009-02-28 08:06:16,17279,11,3,3360269801,6,House_of_Terror,Museum,47.50694,19.06528,2009-02-28 06:36:59,1235803019,10189504@N06
