seqID,shortSeq,startTime,endTime,seqDuration,numberOfPhotos,numberOfDifferentPOIs,photoID,poiID,poiName,poiTheme,poiLat,poiLon,dateTaken,unixTimestamp,userID
7,True,2017-07-29 14:06:03,2017-07-29 14:36:31,1828,3,1,1,6,Museo_Nacional_Centro_de_Arte_Reina_Sofia,Museum,40.4079123,-3.6945569,2017-07-29 14:06:03,1501337163,10006319@N00
7,True,2017-07-29 14:06:03,2017-07-29 14:36:31,1828,3,1,2,6,Museo_Nacional_Centro_de_Arte_Reina_Sofia,Museum,40.4079123,-3.6945569,2017-07-29 14:15:09,1501337709,10006319@N00
7,True,2017-07-29 14:06:03,2017-07-29 14:36:31,1828,3,1,3,6,Museo_Nacional_Centro_de_Arte_Reina_Sofia,Museum,40.4079123,-3.6945569,2017-07-29 14:36:31,1501338991,10006319@N00
10,True,2017-12-06 15:17:55,2017-12-06 15:18:34,39,2,1,4,15,National_Archaeological_Museum,Museum,40.423553,-3.689402,2017-12-06 15:17:55,1512573475,10006319@N00
10,True,2017-12-06 15:17:55,2017-12-06 15:18:34,39,2,1,5,15,National_Archaeological_Museum,Museum,40.423553,-3.689402,2017-12-06 15:18:34,1512573514,10006319@N00
11,True,2017-12-07 19:33:18,2017-12-07 19:38:34,316,2,1,6,1,Plaza_Mayor,Historical,40.415511,-3.7074009,2017-12-07 19:33:18,1512675198,10006319@N00
11,True,2017-12-07 19:33:18,2017-12-07 19:38:34,316,2,1,7,1,Plaza_Mayor,Historical,40.415511,-3.7074009,2017-12-07 19:38:34,1512675514,10006319@N00
16,True,2018-03-28 16:14:12,2018-03-28 16:19:12,300,3,1,8,11,CaixaForum_Madrid,Museum,40.411112,-3.693571,2018-03-28 16:14:12,1522253652,10006319@N00
16,True,2018-03-28 16:14:12,2018-03-28 16:19:12,300,3,1,9,11,CaixaForum_Madrid,Museum,40.411112,-3.693571,2018-03-28 16:15:27,1522253727,10006319@N00
16,True,2018-03-28 16:14:12,2018-03-28 16:19:12,300,3,1,10,11,CaixaForum_Madrid,Museum,40.411112,-3.693571,2018-03-28 16:19:12,1522253952,10006319@N00
17,True,2018-03-29 12:50:59,2018-03-29 12:51:38,39,2,1,11,20,Museo_del_Romanticismo,Museum,40.425889,-3.6987766,2018-03-29 12:50:59,1522327859,10006319@N00
17,True,2018-03-29 12:50:59,2018-03-29 12:51:38,39,2,1,12,20,Museo_del_Romanticismo,Museum,40.425889,-3.6987766,2018-03-29 12:51:38,1522327898,10006319@N00
19,True,2018-07-31 14:04:35,2018-07-31 16:04:11,7176,6,1,13,14,Museo_del_Ferrocarril_de_Madrid,Museum,40.3987727,-3.6915246,2018-07-31 14:04:35,1533045875,10006319@N00
19,True,2018-07-31 14:04:35,2018-07-31 16:04:11,7176,6,1,14,14,Museo_del_Ferrocarril_de_Madrid,Museum,40.3987727,-3.6915246,2018-07-31 14:05:46,1533045946,10006319@N00
19,True,2018-07-31 14:04:35,2018-07-31 16:04:11,7176,6,1,15,14,Museo_del_Ferrocarril_de_Madrid,Museum,40.3987727,-3.6915246,2018-07-31 14:09:48,1533046188,10006319@N00
19,True,2018-07-31 14:04:35,2018-07-31 16:04:11,7176,6,1,16,14,Museo_del_Ferrocarril_de_Madrid,Museum,40.3987727,-3.6915246,2018-07-31 14:47:23,1533048443,10006319@N00
19,True,2018-07-31 14:04:35,2018-07-31 16:04:11,7176,6,1,17,14,Museo_del_Ferrocarril_de_Madrid,Museum,40.3987727,-3.6915246,2018-07-31 14:48:05,1533048485,10006319@N00
19,True,2018-07-31 14:04:35,2018-07-31 16:04:11,7176,6,1,18,14,Museo_del_Ferrocarril_de_Madrid,Museum,40.3987727,-3.6915246,2018-07-31 16:04:11,1533053051,10006319@N00
21,True,2018-08-02 14:06:15,2018-08-02 14:06:37,22,2,1,19,25,Madrid_-_Atocha_Cercanias,Transport,40.4071782,-3.6889689,2018-08-02 14:06:15,1533218775,10006319@N00
21,True,2018-08-02 14:06:15,2018-08-02 14:06:37,22,2,1,20,25,Madrid_-_Atocha_Cercanias,Transport,40.4071782,-3.6889689,2018-08-02 14:06:37,1533218797,10006319@N00
23,True,2018-12-06 15:51:13,2018-12-06 16:02:24,671,2,1,21,24,Casita-_Museo_de_Raton_Perez,Museum,40.4171846,-3.70543,2018-12-06 15:51:13,1544111473,10006319@N00
23,True,2018-12-06 15:51:13,2018-12-06 16:02:24,671,2,1,22,24,Casita-_Museo_de_Raton_Perez,Museum,40.4171846,-3.70543,2018-12-06 16:02:24,1544112144,10006319@N00
24,True,2018-12-07 13:42:46,2018-12-07 14:29:29,2803,2,1,23,24,Casita-_Museo_de_Raton_Perez,Museum,40.4171846,-3.70543,2018-12-07 13:42:46,1544190166,10006319@N00
24,True,2018-12-07 13:42:46,2018-12-07 14:29:29,2803,2,1,24,24,Casita-_Museo_de_Raton_Perez,Museum,40.4171846,-3.70543,2018-12-07 14:29:29,1544192969,10006319@N00
28,True,2017-03-23 18:31:56,2017-03-23 18:32:01,5,2,1,25,6,Museo_Nacional_Centro_de_Arte_Reina_Sofia,Museum,40.4079123,-3.6945569,2017-03-23 18:31:56,1490293916,100183713@N05
28,True,2017-03-23 18:31:56,2017-03-23 18:32:01,5,2,1,26,6,Museo_Nacional_Centro_de_Arte_Reina_Sofia,Museum,40.4079123,-3.6945569,2017-03-23 18:32:01,1490293921,100183713@N05
31,True,2017-02-07 12:44:17,2017-02-07 13:47:07,3770,8,2,27,2,El_Retiro_Park,Parks and spaces,40.4152606,-3.6844995,2017-02-07 12:44:17,1486471457,10032596@N00
31,True,2017-02-07 12:44:17,2017-02-07 13:47:07,3770,8,2,28,2,El_Retiro_Park,Parks and spaces,40.4152606,-3.6844995,2017-02-07 12:48:15,1486471695,10032596@N00
31,True,2017-02-07 12:44:17,2017-02-07 13:47:07,3770,8,2,29,13,Palacio_de_Cristal,Palace,40.4136266,-3.6820397,2017-02-07 13:00:35,1486472435,10032596@N00
31,True,2017-02-07 12:44:17,2017-02-07 13:47:07,3770,8,2,30,13,Palacio_de_Cristal,Palace,40.4136266,-3.6820397,2017-02-07 13:04:30,1486472670,10032596@N00
31,True,2017-02-07 12:44:17,2017-02-07 13:47:07,3770,8,2,31,13,Palacio_de_Cristal,Palace,40.4136266,-3.6820397,2017-02-07 13:07:55,1486472875,10032596@N00
31,True,2017-02-07 12:44:17,2017-02-07 13:47:07,3770,8,2,32,13,Palacio_de_Cristal,Palace,40.4136266,-3.6820397,2017-02-07 13:10:21,1486473021,10032596@N00
31,True,2017-02-07 12:44:17,2017-02-07 13:47:07,3770,8,2,33,13,Palacio_de_Cristal,Palace,40.4136266,-3.6820397,2017-02-07 13:45:47,1486475147,10032596@N00
31,True,2017-02-07 12:44:17,2017-02-07 13:47:07,3770,8,2,34,13,Palacio_de_Cristal,Palace,40.4136266,-3.6820397,2017-02-07 13:47:07,1486475227,10032596@N00
34,True,2017-10-14 19:05:52,2017-10-14 19:11:38,346,9,1,35,5,Royal_Palace_of_Madrid,Palace,40.417955,-3.714312,2017-10-14 19:05:52,1508007952,100380901@N07
34,True,2017-10-14 19:05:52,2017-10-14 19:11:38,346,9,1,36,5,Royal_Palace_of_Madrid,Palace,40.417955,-3.714312,2017-10-14 19:06:09,1508007969,100380901@N07
34,True,2017-10-14 19:05:52,2017-10-14 19:11:38,346,9,1,37,5,Royal_Palace_of_Madrid,Palace,40.417955,-3.714312,2017-10-14 19:06:46,1508008006,100380901@N07
34,True,2017-10-14 19:05:52,2017-10-14 19:11:38,346,9,1,38,5,Royal_Palace_of_Madrid,Palace,40.417955,-3.714312,2017-10-14 19:06:56,1508008016,100380901@N07
34,True,2017-10-14 19:05:52,2017-10-14 19:11:38,346,9,1,39,5,Royal_Palace_of_Madrid,Palace,40.417955,-3.714312,2017-10-14 19:07:17,1508008037,100380901@N07
34,True,2017-10-14 19:05:52,2017-10-14 19:11:38,346,9,1,40,5,Royal_Palace_of_Madrid,Palace,40.417955,-3.714312,2017-10-14 19:07:22,1508008042,100380901@N07
