seqID,shortSeq,startTime,endTime,seqDuration,numberOfPhotos,numberOfDifferentPOIs,photoID,poiID,poiName,poiTheme,poiLat,poiLon,dateTaken,unixTimestamp,userID
1,True,2010-06-28 10:02:04,2010-06-28 10:27:12,1508,6,1,6656416589,20,Namba,Entertainment,34.66722,135.50028,2010-06-28 10:02:04,1277719324,10297518@N00
1,True,2010-06-28 10:02:04,2010-06-28 10:27:12,1508,6,1,6656418463,20,Namba,Entertainment,34.66722,135.50028,2010-06-28 10:02:24,1277719344,10297518@N00
1,True,2010-06-28 10:02:04,2010-06-28 10:27:12,1508,6,1,6656420371,20,Namba,Entertainment,34.66722,135.50028,2010-06-28 10:05:41,1277719541,10297518@N00
1,True,2010-06-28 10:02:04,2010-06-28 10:27:12,1508,6,1,6656421479,20,Namba,Entertainment,34.66722,135.50028,2010-06-28 10:05:58,1277719558,10297518@N00
1,True,2010-06-28 10:02:04,2010-06-28 10:27:12,1508,6,1,6656422763,20,Namba,Entertainment,34.66722,135.50028,2010-06-28 10:06:13,1277719573,10297518@N00
1,True,2010-06-28 10:02:04,2010-06-28 10:27:12,1508,6,1,6656425271,20,Namba,Entertainment,34.66722,135.50028,2010-06-28 10:27:12,1277720832,10297518@N00
2,False,2013-10-24 09:42:41,2013-10-24 09:57:24,883,13,4,10457209566,21,Shinsaibashi,Entertainment,34.6725,135.5,2013-10-24 09:42:41,1382607761,10307040@N08
2,False,2013-10-24 09:42:41,2013-10-24 09:57:24,883,13,4,10457230705,21,Shinsaibashi,Entertainment,34.6725,135.5,2013-10-24 09:42:54,1382607774,10307040@N08
2,False,2013-10-24 09:42:41,2013-10-24 09:57:24,883,13,4,10457212254,8,Osaka_Castle,Parks and spaces,34.68722,135.52583,2013-10-24 09:43:32,1382607812,10307040@N08
2,False,2013-10-24 09:42:41,2013-10-24 09:57:24,883,13,4,10457234086,22,Shinsekai,Entertainment,34.65222,135.50611,2013-10-24 09:44:39,1382607879,10307040@N08
2,False,2013-10-24 09:42:41,2013-10-24 09:57:24,883,13,4,10457424463,22,Shinsekai,Entertainment,34.65222,135.50611,2013-10-24 09:44:55,1382607895,10307040@N08
2,False,2013-10-24 09:42:41,2013-10-24 09:57:24,883,13,4,10457557503,22,Shinsekai,Entertainment,34.65222,135.50611,2013-10-24 09:55:46,1382608546,10307040@N08
2,False,2013-10-24 09:42:41,2013-10-24 09:57:24,883,13,4,10457393115,22,Shinsekai,Entertainment,34.65222,135.50611,2013-10-24 09:55:58,1382608558,10307040@N08
2,False,2013-10-24 09:42:41,2013-10-24 09:57:24,883,13,4,10457373574,22,Shinsekai,Entertainment,34.65222,135.50611,2013-10-24 09:56:15,1382608575,10307040@N08
2,False,2013-10-24 09:42:41,2013-10-24 09:57:24,883,13,4,10457379946,22,Shinsekai,Entertainment,34.65222,135.50611,2013-10-24 09:56:28,1382608588,10307040@N08
2,False,2013-10-24 09:42:41,2013-10-24 09:57:24,883,13,4,10457568033,22,Shinsekai,Entertainment,34.65222,135.50611,2013-10-24 09:56:39,1382608599,10307040@N08
2,False,2013-10-24 09:42:41,2013-10-24 09:57:24,883,13,4,10457571273,22,Shinsekai,Entertainment,34.65222,135.50611,2013-10-24 09:56:56,1382608616,10307040@N08
2,False,2013-10-24 09:42:41,2013-10-24 09:57:24,883,13,4,10457388106,22,Shinsekai,Entertainment,34.65222,135.50611,2013-10-24 09:57:08,1382608628,10307040@N08
2,False,2013-10-24 09:42:41,2013-10-24 09:57:24,883,13,4,10457387674,6,Umeda_Sky_Building,Amusement,34.70528,135.48972,2013-10-24 09:57:24,1382608644,10307040@N08
3,False,2013-03-26 08:24:08,2013-03-26 09:11:58,2870,11,3,8655431797,21,Shinsaibashi,Entertainment,34.6725,135.5,2013-03-26 08:24:08,1364286248,10340578@N06
3,False,2013-03-26 08:24:08,2013-03-26 09:11:58,2870,11,3,8655431519,21,Shinsaibashi,Entertainment,34.6725,135.5,2013-03-26 08:24:15,1364286255,10340578@N06
3,False,2013-03-26 08:24:08,2013-03-26 09:11:58,2870,11,3,8655431217,21,Shinsaibashi,Entertainment,34.6725,135.5,2013-03-26 08:24:37,1364286277,10340578@N06
3,False,2013-03-26 08:24:08,2013-03-26 09:11:58,2870,11,3,8655430899,21,Shinsaibashi,Entertainment,34.6725,135.5,2013-03-26 08:24:41,1364286281,10340578@N06
3,False,2013-03-26 08:24:08,2013-03-26 09:11:58,2870,11,3,8656533992,21,Shinsaibashi,Entertainment,34.6725,135.5,2013-03-26 08:32:52,1364286772,10340578@N06
3,False,2013-03-26 08:24:08,2013-03-26 09:11:58,2870,11,3,8655429225,21,Shinsaibashi,Entertainment,34.6725,135.5,2013-03-26 08:33:42,1364286822,10340578@N06
3,False,2013-03-26 08:24:08,2013-03-26 09:11:58,2870,11,3,8655429017,21,Shinsaibashi,Entertainment,34.6725,135.5,2013-03-26 08:37:56,1364287076,10340578@N06
3,False,2013-03-26 08:24:08,2013-03-26 09:11:58,2870,11,3,8655428709,21,Shinsaibashi,Entertainment,34.6725,135.5,2013-03-26 08:40:31,1364287231,10340578@N06
3,False,2013-03-26 08:24:08,2013-03-26 09:11:58,2870,11,3,8655428413,22,Shinsekai,Entertainment,34.65222,135.50611,2013-03-26 09:11:21,1364289081,10340578@N06
3,False,2013-03-26 08:24:08,2013-03-26 09:11:58,2870,11,3,8656532618,22,Shinsekai,Entertainment,34.65222,135.50611,2013-03-26 09:11:31,1364289091,10340578@N06
3,False,2013-03-26 08:24:08,2013-03-26 09:11:58,2870,11,3,8656532274,3,Tenn%C5%8Dji_Zoo,Amusement,34.652556,135.508496,2013-03-26 09:11:58,1364289118,10340578@N06
4,False,2013-03-28 00:48:36,2013-03-28 05:25:33,16617,17,3,8656444951,2,Tempozan_Ferris_Wheel,Amusement,34.6561657,135.431031,2013-03-28 00:48:36,1364431716,10340578@N06
4,False,2013-03-28 00:48:36,2013-03-28 05:25:33,16617,17,3,8657550102,2,Tempozan_Ferris_Wheel,Amusement,34.6561657,135.431031,2013-03-28 00:49:01,1364431741,10340578@N06
4,False,2013-03-28 00:48:36,2013-03-28 05:25:33,16617,17,3,8656444509,2,Tempozan_Ferris_Wheel,Amusement,34.6561657,135.431031,2013-03-28 00:50:29,1364431829,10340578@N06
4,False,2013-03-28 00:48:36,2013-03-28 05:25:33,16617,17,3,8657549720,2,Tempozan_Ferris_Wheel,Amusement,34.6561657,135.431031,2013-03-28 00:50:38,1364431838,10340578@N06
4,False,2013-03-28 00:48:36,2013-03-28 05:25:33,16617,17,3,8656444107,2,Tempozan_Ferris_Wheel,Amusement,34.6561657,135.431031,2013-03-28 00:52:03,1364431923,10340578@N06
4,False,2013-03-28 00:48:36,2013-03-28 05:25:33,16617,17,3,8657549354,2,Tempozan_Ferris_Wheel,Amusement,34.6561657,135.431031,2013-03-28 00:52:14,1364431934,10340578@N06
4,False,2013-03-28 00:48:36,2013-03-28 05:25:33,16617,17,3,8657549120,1,Osaka_Aquarium_Kaiyukan,Amusement,34.654472,135.428889,2013-03-28 00:54:56,1364432096,10340578@N06
4,False,2013-03-28 00:48:36,2013-03-28 05:25:33,16617,17,3,8656443027,8,Osaka_Castle,Parks and spaces,34.68722,135.52583,2013-03-28 05:06:47,1364447207,10340578@N06
4,False,2013-03-28 00:48:36,2013-03-28 05:25:33,16617,17,3,8657548132,8,Osaka_Castle,Parks and spaces,34.68722,135.52583,2013-03-28 05:07:57,1364447277,10340578@N06
4,False,2013-03-28 00:48:36,2013-03-28 05:25:33,16617,17,3,8656442641,8,Osaka_Castle,Parks and spaces,34.68722,135.52583,2013-03-28 05:08:12,1364447292,10340578@N06
4,False,2013-03-28 00:48:36,2013-03-28 05:25:33,16617,17,3,8657547800,8,Osaka_Castle,Parks and spaces,34.68722,135.52583,2013-03-28 05:08:39,1364447319,10340578@N06
4,False,2013-03-28 00:48:36,2013-03-28 05:25:33,16617,17,3,8657547634,8,Osaka_Castle,Parks and spaces,34.68722,135.52583,2013-03-28 05:08:54,1364447334,10340578@N06
4,False,2013-03-28 00:48:36,2013-03-28 05:25:33,16617,17,3,8656442117,8,Osaka_Castle,Parks and spaces,34.68722,135.52583,2013-03-28 05:16:33,1364447793,10340578@N06
4,False,2013-03-28 00:48:36,2013-03-28 05:25:33,16617,17,3,8657547320,8,Osaka_Castle,Parks and spaces,34.68722,135.52583,2013-03-28 05:17:37,1364447857,10340578@N06
4,False,2013-03-28 00:48:36,2013-03-28 05:25:33,16617,17,3,8656424273,8,Osaka_Castle,Parks and spaces,34.68722,135.52583,2013-03-28 05:17:45,1364447865,10340578@N06
4,False,2013-03-28 00:48:36,2013-03-28 05:25:33,16617,17,3,8657547150,8,Osaka_Castle,Parks and spaces,34.68722,135.52583,2013-03-28 05:25:00,1364448300,10340578@N06
4,False,2013-03-28 00:48:36,2013-03-28 05:25:33,16617,17,3,8657546994,8,Osaka_Castle,Parks and spaces,34.68722,135.52583,2013-03-28 05:25:33,1364448333,10340578@N06
7,True,2012-10-14 03:02:55,2012-10-14 03:06:53,238,2,1,8085075023,7,Nakanoshima_Park,Parks and spaces,34.693056,135.506431,2012-10-14 03:02:55,1350183775,10422365@N03
7,True,2012-10-14 03:02:55,2012-10-14 03:06:53,238,2,1,8085080538,7,Nakanoshima_Park,Parks and spaces,34.693056,135.506431,2012-10-14 03:06:53,1350184013,10422365@N03
10,True,2014-03-09 04:06:17,2014-03-09 04:30:38,1461,9,1,13032566594,12,Nagai_Park,Parks and spaces,34.61194,135.52056,2014-03-09 04:06:17,1394337977,115391424@N05
