seqID,shortSeq,startTime,endTime,seqDuration,numberOfPhotos,numberOfDifferentPOIs,photoID,poiID,poiName,poiTheme,poiLat,poiLon,dateTaken,unixTimestamp,userID
1,False,2012-05-04 18:21:12,2012-05-04 22:36:29,15317,5,4,7158915820,1,Perth_Town_Hall,Structures,-31.955,115.860556,2012-05-04 18:21:12,1336155672,11146442@N00
1,False,2012-05-04 18:21:12,2012-05-04 22:36:29,15317,5,4,7158914400,7,Stirling_Gardens,Parks and spaces,-31.9565,115.86,2012-05-04 18:33:17,1336156397,11146442@N00
1,False,2012-05-04 18:21:12,2012-05-04 22:36:29,15317,5,4,7158907712,7,Stirling_Gardens,Parks and spaces,-31.9565,115.86,2012-05-04 18:58:22,1336157902,11146442@N00
1,False,2012-05-04 18:21:12,2012-05-04 22:36:29,15317,5,4,7158905954,6,Supreme_Court_Gardens,Parks and spaces,-31.9585,115.8599,2012-05-04 19:07:17,1336158437,11146442@N00
1,False,2012-05-04 18:21:12,2012-05-04 22:36:29,15317,5,4,7158899778,23,Perth_Arena,Entertainment,-31.94833,115.85194,2012-05-04 22:36:29,1336170989,11146442@N00
2,False,2012-12-03 07:56:32,2012-12-03 08:52:19,3347,5,3,8299832691,18,Esplanade_railway_station,Transport,-31.956586,115.855476,2012-12-03 07:56:32,1354521392,11587194@N06
2,False,2012-12-03 07:56:32,2012-12-03 08:52:19,3347,5,3,8300885686,6,Supreme_Court_Gardens,Parks and spaces,-31.9585,115.8599,2012-12-03 08:04:16,1354521856,11587194@N06
2,False,2012-12-03 07:56:32,2012-12-03 08:52:19,3347,5,3,8299829997,6,Supreme_Court_Gardens,Parks and spaces,-31.9585,115.8599,2012-12-03 08:08:18,1354522098,11587194@N06
2,False,2012-12-03 07:56:32,2012-12-03 08:52:19,3347,5,3,8300898466,6,Supreme_Court_Gardens,Parks and spaces,-31.9585,115.8599,2012-12-03 08:20:13,1354522813,11587194@N06
2,False,2012-12-03 07:56:32,2012-12-03 08:52:19,3347,5,3,8299860749,1,Perth_Town_Hall,Structures,-31.955,115.860556,2012-12-03 08:52:19,1354524739,11587194@N06
3,True,2012-12-08 00:54:55,2012-12-08 08:31:53,27418,3,2,8300981082,17,Perth_railway_station,Transport,-31.951493,115.860448,2012-12-08 00:54:55,1354928095,11587194@N06
3,True,2012-12-08 00:54:55,2012-12-08 08:31:53,27418,3,2,8301055110,18,Esplanade_railway_station,Transport,-31.956586,115.855476,2012-12-08 08:31:50,1354955510,11587194@N06
3,True,2012-12-08 00:54:55,2012-12-08 08:31:53,27418,3,2,8301055952,18,Esplanade_railway_station,Transport,-31.956586,115.855476,2012-12-08 08:31:53,1354955513,11587194@N06
4,True,2012-12-10 08:59:23,2012-12-10 09:00:52,89,2,1,8300076365,19,Esplanade_Busport,Transport,-31.9562,115.85465,2012-12-10 08:59:23,1355129963,11587194@N06
4,True,2012-12-10 08:59:23,2012-12-10 09:00:52,89,2,1,8301131124,19,Esplanade_Busport,Transport,-31.9562,115.85465,2012-12-10 09:00:52,1355130052,11587194@N06
8,True,2012-12-23 07:02:59,2012-12-23 08:37:01,5642,10,1,8306419872,12,Art_Gallery_of_Western_Australia,Cultural,-31.950624,115.860898,2012-12-23 07:02:59,1356246179,12199582@N00
8,True,2012-12-23 07:02:59,2012-12-23 08:37:01,5642,10,1,8306420270,12,Art_Gallery_of_Western_Australia,Cultural,-31.950624,115.860898,2012-12-23 07:03:44,1356246224,12199582@N00
