photoID,userID,dateTaken,poiID,poiTheme,seqID
1,100721644@N08,1541856252,19,Museum,4
2,100721644@N08,1541856270,19,Museum,4
3,100768432@N08,1489854723,15,Museum,6
4,100768432@N08,1489854854,15,Museum,6
5,101005415@N02,1487430049,9,Museum,10
6,101005415@N02,1487430280,9,Museum,10
7,101005415@N02,1487430321,9,Museum,10
8,101005415@N02,1487430632,9,Museum,10
9,101005415@N02,1487430695,9,Museum,10
10,101005415@N02,1487431030,9,Museum,10
11,101005415@N02,1529705251,12,Historical,18
12,101005415@N02,1529705956,12,Historical,18
13,101005415@N02,1529707745,12,Historical,18
14,101005415@N02,1529708580,12,Historical,18
15,101005415@N02,1529708596,12,Historical,18
16,102897707@N03,1506247370,1,Historical,24
17,102897707@N03,1506248822,1,Historical,24
18,102897707@N03,1518374821,23,Museum,26
19,102897707@N03,1518378023,23,Museum,26
20,103468177@N08,1501610818,12,Historical,27
21,103468177@N08,1501611270,12,Historical,27
22,105498794@N02,1539358329,12,Historical,38
23,105498794@N02,1539358329,12,Historical,38
24,10566322@N05,1505849363,1,Historical,40
25,10566322@N05,1505849522,1,Historical,40
26,10566322@N05,1505849620,1,Historical,40
27,10566322@N05,1505849710,1,Historical,40
28,10566322@N05,1505849755,1,Historical,40
29,10566322@N05,1505849841,1,Historical,40
30,10566322@N05,1505849898,1,Historical,40
31,10566322@N05,1505850062,1,Historical,40
32,10566322@N05,1505850289,1,Historical,40
33,10566322@N05,1505850311,1,Historical,40
34,10566322@N05,1505850321,1,Historical,40
35,10566322@N05,1505850455,1,Historical,40
36,10566322@N05,1505850490,1,Historical,40
37,10566322@N05,1505850827,1,Historical,40
38,10566322@N05,1505850847,1,Historical,40
39,10566322@N05,1505850886,1,Historical,40
40,10566322@N05,1505850964,1,Historical,40
41,10566322@N05,1505851013,1,Historical,40
42,10566322@N05,1505851097,1,Historical,40
43,10566322@N05,1505851235,1,Historical,40
44,10566322@N05,1505852134,1,Historical,40
45,10566322@N05,1505852165,1,Historical,40
46,10566322@N05,1505852291,1,Historical,40
47,10566322@N05,1505852421,1,Historical,40
48,10566322@N05,1505852461,1,Historical,40
49,10566322@N05,1505852969,1,Historical,40
50,10566322@N05,1505852999,1,Historical,40
51,10566322@N05,1505853152,1,Historical,40
52,10566322@N05,1505853183,1,Historical,40
53,10566322@N05,1505853193,1,Historical,40
54,10566322@N05,1505853241,1,Historical,40
55,10566322@N05,1505853268,1,Historical,40
56,10566322@N05,1505854198,1,Historical,40
57,10566322@N05,1505854473,1,Historical,40
58,10566322@N05,1505855353,4,Museum,40
59,10566322@N05,1505855528,4,Museum,40
60,10566322@N05,1505855809,4,Museum,40
61,10566322@N05,1505856039,4,Museum,40
62,10566322@N05,1505856265,4,Museum,40
63,10566322@N05,1505856518,4,Museum,40
64,10566322@N05,1505856591,4,Museum,40
65,10566322@N05,1505856761,4,Museum,40
66,10566322@N05,1505856829,4,Museum,40
67,10566322@N05,1505857686,4,Museum,40
68,10566322@N05,1505860709,4,Museum,40
69,10566322@N05,1505860762,4,Museum,40
70,10566322@N05,1505860796,4,Museum,40
71,10566322@N05,1505860801,4,Museum,40
72,10566322@N05,1505860809,4,Museum,40
73,10566322@N05,1505866746,5,Historical,40
74,10566322@N05,1505867125,5,Historical,40
75,106391491@N02,1520722341,12,Historical,45
76,106391491@N02,1520722522,12,Historical,45
77,106391491@N02,1520722748,12,Historical,45
78,106391491@N02,1520722997,12,Historical,45
79,106391491@N02,1520892648,12,Historical,49
80,106391491@N02,1520898280,12,Historical,49
81,106391491@N02,1520898324,12,Historical,49
82,106391491@N02,1520898445,12,Historical,49
83,106391491@N02,1520944402,12,Historical,50
84,106391491@N02,1520944492,12,Historical,50
85,106391491@N02,1520945485,12,Historical,50
86,106391491@N02,1520946203,12,Historical,50
