photoID,userID,dateTaken,poiID,poiTheme,seqID
1,100108211@N06,1501791155,29,Museum,1
2,100108211@N06,1501792349,29,Museum,1
3,100108211@N06,1501792579,29,Museum,1
4,100108211@N06,1501793533,29,Museum,1
5,100108211@N06,1501794789,29,Museum,1
6,100108211@N06,1501803723,29,Museum,1
7,100108211@N06,1501803727,29,Museum,1
8,100108211@N06,1501803955,29,Museum,1
9,100108211@N06,1501804008,29,Museum,1
10,100108211@N06,1501804091,29,Museum,1
11,100108211@N06,1501806666,29,Museum,1
12,100108211@N06,1501807035,29,Museum,1
13,100108211@N06,1501807428,29,Museum,1
14,100108211@N06,1501944605,29,Museum,2
15,100108211@N06,1501946092,29,Museum,2
16,100108211@N06,1501946142,29,Museum,2
17,100108211@N06,1501948946,29,Museum,2
18,100108211@N06,1501961280,29,Museum,2
19,100108211@N06,1501961366,29,Museum,2
20,100108211@N06,1502031149,29,Museum,3
21,100108211@N06,1502031429,29,Museum,3
22,100108211@N06,1502033805,29,Museum,3
23,100108211@N06,1502033886,29,Museum,3
24,100108211@N06,1502034367,29,Museum,3
25,100108211@N06,1502112934,29,Museum,4
26,100108211@N06,1502113298,29,Museum,4
27,100108211@N06,1502113835,29,Museum,4
28,100108211@N06,1502114039,29,Museum,4
29,100108211@N06,1502115305,29,Museum,4
30,100108211@N06,1502115353,29,Museum,4
31,100108211@N06,1502115641,29,Museum,4
32,100108211@N06,1502116703,29,Museum,4
33,100108211@N06,1502116806,29,Museum,4
34,100108211@N06,1502116857,29,Museum,4
35,100108211@N06,1502117457,29,Museum,4
36,10032596@N00,1514035400,10,Shopping,6
37,10032596@N00,1514035426,10,Shopping,6
38,10032596@N00,1514035605,10,Shopping,6
39,10032596@N00,1514036101,10,Shopping,6
40,10032596@N00,1514038499,16,Museum,6
41,10032596@N00,1514038539,16,Museum,6
42,10032596@N00,1514038609,16,Museum,6
43,10032596@N00,1514038657,16,Museum,6
44,10032596@N00,1514038712,16,Museum,6
45,10032596@N00,1514038712,16,Museum,6
46,10032596@N00,1514038959,16,Museum,6
47,10032596@N00,1514038982,16,Museum,6
48,10032596@N00,1514039968,16,Museum,6
49,10032596@N00,1514040284,16,Museum,6
50,10032596@N00,1514053425,30,Museum,6
51,10032596@N00,1514053458,30,Museum,6
52,10032596@N00,1514053489,30,Museum,6
53,10032596@N00,1514053508,30,Museum,6
54,10032596@N00,1514053553,30,Museum,6
55,10032596@N00,1514053854,30,Museum,6
56,10032596@N00,1514130155,4,Education,7
57,10032596@N00,1514130389,4,Education,7
58,10032596@N00,1514133757,4,Education,7
59,10032596@N00,1514133903,4,Education,7
60,10032596@N00,1514228082,7,Shopping,8
61,10032596@N00,1514228372,7,Shopping,8
62,10032596@N00,1514228422,7,Shopping,8
63,10032596@N00,1514228644,8,Zoo,8
64,10032596@N00,1514228663,8,Zoo,8
65,10032596@N00,1514229236,8,Zoo,8
66,100406338@N02,1506876544,19,Museum,10
67,100406338@N02,1506882147,19,Museum,10
68,100406338@N02,1506974300,3,Shopping,11
69,100406338@N02,1506974435,3,Shopping,11
70,100406338@N02,1506974533,3,Shopping,11
71,100406338@N02,1506974690,3,Shopping,11
72,100511874@N03,1524052656,4,Education,17
73,100511874@N03,1524052707,4,Education,17
74,100511874@N03,1524052853,4,Education,17
75,100511874@N03,1524053164,4,Education,17
76,100511874@N03,1524053218,4,Education,17
77,100511874@N03,1524053260,4,Education,17
78,100511874@N03,1524053292,4,Education,17
79,100511874@N03,1524053352,4,Education,17
80,100511874@N03,1524053374,4,Education,17
81,100511874@N03,1524053391,4,Education,17
82,100511874@N03,1524053441,4,Education,17
83,100511874@N03,1524053474,4,Education,17
84,100511874@N03,1524053498,4,Education,17
85,100511874@N03,1524053517,4,Education,17
86,100511874@N03,1524053712,4,Education,17
87,100511874@N03,1524053997,4,Education,17
88,100511874@N03,1524054075,4,Education,17
89,100511874@N03,1524054089,4,Education,17
90,100511874@N03,1524054176,4,Education,17
91,100511874@N03,1524054292,4,Education,17
92,100511874@N03,1524054297,4,Education,17
93,100511874@N03,1524054334,4,Education,17
94,100511874@N03,1524054423,4,Education,17
95,100511874@N03,1524054658,4,Education,17
96,100511874@N03,1524054786,4,Education,17
97,100511874@N03,1524054843,4,Education,17
98,100511874@N03,1524054921,4,Education,17
99,100511874@N03,1524054977,4,Education,17
100,100511874@N03,1524055287,4,Education,17
101,100511874@N03,1524055572,4,Education,17
102,100511874@N03,1524055691,4,Education,17
103,100511874@N03,1524055735,4,Education,17
104,100511874@N03,1524055796,4,Education,17
105,100511874@N03,1524055945,4,Education,17
106,100511874@N03,1524055958,4,Education,17
107,100511874@N03,1524056045,4,Education,17
108,100511874@N03,1524056361,4,Education,17
109,100511874@N03,1524056377,4,Education,17
110,100511874@N03,1524056402,4,Education,17
111,100511874@N03,1524056424,4,Education,17
112,100511874@N03,1524056649,4,Education,17
113,100511874@N03,1524065651,18,Museum,17
114,100511874@N03,1524065676,18,Museum,17
115,100511874@N03,1524065700,18,Museum,17
116,100511874@N03,1524065806,18,Museum,17
117,100760085@N03,1497283830,30,Museum,22
118,100760085@N03,1497283846,30,Museum,22
119,100872466@N04,1535409077,7,Shopping,25
120,100872466@N04,1535409693,7,Shopping,25
121,100954775@N03,1496579879,29,Museum,28
122,100954775@N03,1496579937,29,Museum,28
123,100954775@N03,1496613329,29,Museum,29
124,100954775@N03,1496613411,29,Museum,29
125,100954775@N03,1496613578,29,Museum,29
126,100954775@N03,1496613848,29,Museum,29
127,100954775@N03,1496615170,29,Museum,29
128,101024960@N03,1491148161,10,Shopping,33
