photoID,userID,dateTaken,poiID,poiTheme,seqID
1,100153087@N08,1523635910,8,Museum,2
2,100153087@N08,1523640111,8,Museum,2
3,100228151@N03,1498927024,3,Transport,3
4,100228151@N03,1498927504,3,Transport,3
5,100243935@N07,1542141560,6,Shopping,5
6,100243935@N07,1542141583,6,Shopping,5
7,100243935@N07,1542141838,6,Shopping,5
8,100243935@N07,1542141920,6,Shopping,5
9,100251963@N05,1497812610,12,Park,7
10,100251963@N05,1497814483,12,Park,7
11,100251963@N05,1497815834,12,Park,7
12,100251963@N05,1497817132,12,Park,7
13,100251963@N05,1497817696,12,Park,7
14,100251963@N05,1497818121,12,Park,7
15,100251963@N05,1497818184,12,Park,7
16,100251963@N05,1497818203,12,Park,7
17,100251963@N05,1497818565,12,Park,7
18,100251963@N05,1497818578,12,Park,7
19,100251963@N05,1497818626,12,Park,7
20,100251963@N05,1497818712,12,Park,7
21,100251963@N05,1497818729,12,Park,7
22,100251963@N05,1499463225,15,Zoo,8
23,100251963@N05,1499463899,15,Zoo,8
24,100251963@N05,1499465292,15,Zoo,8
25,100251963@N05,1499465471,15,Zoo,8
26,100251963@N05,1499469056,15,Zoo,8
27,100251963@N05,1499469971,15,Zoo,8
28,100251963@N05,1499470532,15,Zoo,8
29,100251963@N05,1499470608,15,Zoo,8
30,100251963@N05,1499472858,15,Zoo,8
31,100251963@N05,1499472867,15,Zoo,8
32,100251963@N05,1516484620,5,Entertainment,9
33,100251963@N05,1516485297,5,Entertainment,9
34,10028574@N02,1528373452,1,Entertainment,13
35,10028574@N02,1528376239,1,Entertainment,13
36,100404341@N06,1495473340,5,Entertainment,17
37,100404341@N06,1495473452,5,Entertainment,17
38,100470389@N06,1523134646,3,Transport,29
39,100470389@N06,1523134797,3,Transport,29
40,100470389@N06,1523136452,3,Transport,29
41,100470389@N06,1523136612,3,Transport,29
42,100595443@N07,1491663804,5,Entertainment,32
43,100595443@N07,1491663908,5,Entertainment,32
44,100595443@N07,1492522476,5,Entertainment,33
45,100595443@N07,1492522833,5,Entertainment,33
46,10073165@N03,1492880760,11,Building,37
47,10073165@N03,1492883255,11,Building,37
48,10073165@N03,1492883396,11,Building,37
49,10073165@N03,1492883410,11,Building,37
50,10073165@N03,1492883439,11,Building,37
51,10073165@N03,1492883496,11,Building,37
52,10073165@N03,1492883712,11,Building,37
53,10073165@N03,1492883721,11,Building,37
54,10073165@N03,1492883809,11,Building,37
55,10073165@N03,1492883820,11,Building,37
56,10073165@N03,1492883941,11,Building,37
57,10073165@N03,1492884100,11,Building,37
58,10076455@N04,1498495100,19,Historical,40
59,10076455@N04,1498495252,19,Historical,40
60,10076455@N04,1498495567,19,Historical,40
61,10076455@N04,1498495631,19,Historical,40
62,10076455@N04,1532379222,5,Entertainment,43
63,10076455@N04,1532379368,5,Entertainment,43
64,10076455@N04,1539373227,2,Museum,44
65,10076455@N04,1539373469,2,Museum,44
66,10076455@N04,1539374595,2,Museum,44
67,10076455@N04,1543591268,2,Museum,47
68,10076455@N04,1543591434,2,Museum,47
69,10076455@N04,1543591447,2,Museum,47
70,10076455@N04,1543591719,2,Museum,47
71,100940221@N03,1538524042,26,Shopping,56
72,100940221@N03,1538524172,26,Shopping,56
73,100940221@N03,1538529232,26,Shopping,56
74,100940221@N03,1538529580,26,Shopping,56
75,100940221@N03,1540339230,26,Shopping,57
76,100940221@N03,1540339578,26,Shopping,57
77,100940221@N03,1540339987,26,Shopping,57
78,100978997@N07,1501602151,18,Museum,62
79,100978997@N07,1501602453,18,Museum,62
80,100978997@N07,1501603638,18,Museum,62
81,100978997@N07,1501603722,18,Museum,62
82,100978997@N07,1501603754,18,Museum,62
83,100978997@N07,1501604681,18,Museum,62
84,100978997@N07,1501616352,18,Museum,62
85,100978997@N07,1501616504,18,Museum,62
86,100978997@N07,1501635381,4,Park,63
87,100978997@N07,1501635464,4,Park,63
88,100978997@N07,1501635872,4,Park,63
89,100978997@N07,1501636119,4,Park,63
90,100978997@N07,1523490359,3,Transport,66
91,100978997@N07,1523491085,3,Transport,66
92,100978997@N07,1523643205,14,Palace,67
93,100978997@N07,1523643441,14,Palace,67
94,100978997@N07,1523643585,14,Palace,67
95,100978997@N07,1523643743,14,Palace,67
96,100978997@N07,1523644149,14,Palace,67
97,100978997@N07,1523644353,14,Palace,67
98,100978997@N07,1523644613,14,Palace,67
99,100978997@N07,1523645545,14,Palace,67
100,100978997@N07,1523645849,14,Palace,67
101,100978997@N07,1523646022,14,Palace,67
102,100978997@N07,1536534795,5,Entertainment,69
103,100978997@N07,1536535155,5,Entertainment,69
104,100978997@N07,1536535749,5,Entertainment,69
105,100978997@N07,1536536582,5,Entertainment,69
106,100978997@N07,1536537282,26,Shopping,69
107,100978997@N07,1536537547,26,Shopping,69
108,100987139@N04,1502991748,2,Museum,70
109,100987139@N04,1502991905,2,Museum,70
110,100987139@N04,1502993380,2,Museum,70
111,100987139@N04,1502993731,2,Museum,70
112,100987139@N04,1502994843,2,Museum,70
113,100987139@N04,1502996352,2,Museum,70
114,100987139@N04,1502996559,2,Museum,70
115,100991133@N03,1486296264,5,Entertainment,71
116,100991133@N03,1486301375,5,Entertainment,71
117,101053609@N05,1534461471,28,Transport,75
118,101053609@N05,1534462751,28,Transport,75
119,101090910@N07,1498924365,16,Precinct,80
120,101090910@N07,1498924923,16,Precinct,80
121,101090910@N07,1498924932,16,Precinct,80
122,101090910@N07,1498926002,16,Precinct,80
123,101090910@N07,1498927275,16,Precinct,80
124,101090910@N07,1498927303,16,Precinct,80
125,101090910@N07,1498928854,16,Precinct,80
126,101090910@N07,1498931785,16,Precinct,80
127,101090910@N07,1498931793,16,Precinct,80
128,101090910@N07,1498932172,16,Precinct,80
129,101133171@N06,1487016878,26,Shopping,82
130,101133171@N06,1487016901,26,Shopping,82
131,101212512@N07,1501640582,1,Entertainment,86
132,101212512@N07,1501644006,1,Entertainment,86
133,101212512@N07,1501644074,1,Entertainment,86
134,101212512@N07,1501644776,1,Entertainment,86
135,101212512@N07,1503061656,2,Museum,90
136,101212512@N07,1503062079,2,Museum,90
137,101212512@N07,1503062157,2,Museum,90
138,101212512@N07,1503062208,2,Museum,90
139,101212512@N07,1503062290,2,Museum,90
140,101212512@N07,1503063223,2,Museum,90
141,101212512@N07,1503065666,2,Museum,90
142,101212512@N07,1529583748,16,Precinct,92
143,101212512@N07,1529583826,16,Precinct,92
144,101212512@N07,1529597480,22,Entertainment,92
145,101212512@N07,1529599498,22,Entertainment,92
146,101212512@N07,1529600857,1,Entertainment,92
147,101212512@N07,1529601520,1,Entertainment,92
148,101212512@N07,1529601727,1,Entertainment,92
149,101212512@N07,1529602891,3,Transport,92
150,101212512@N07,1529608575,3,Transport,92
151,101212512@N07,1529685480,5,Entertainment,93
152,101212512@N07,1529685945,5,Entertainment,93
153,101212512@N07,1529685987,5,Entertainment,93
154,101212512@N07,1529757808,2,Museum,94
155,101212512@N07,1529759805,2,Museum,94
156,101212512@N07,1529766273,2,Museum,94
157,101212512@N07,1529776968,1,Entertainment,94
158,101212512@N07,1529777948,1,Entertainment,94
159,101212512@N07,1529777955,1,Entertainment,94
160,10135721@N02,1522179203,5,Entertainment,97
161,10135721@N02,1522179598,5,Entertainment,97
162,10135721@N02,1522179655,5,Entertainment,97
163,10135721@N02,1522185428,5,Entertainment,97
164,101419012@N05,1512348239,3,Transport,100
165,101419012@N05,1512348816,3,Transport,100
166,101463652@N02,1502635527,5,Entertainment,101
167,101463652@N02,1502635558,5,Entertainment,101
168,10147029@N08,1495273688,25,Museum,103
169,10147029@N08,1495273724,25,Museum,103
170,10147029@N08,1495273905,25,Museum,103
171,10147029@N08,1495274729,25,Museum,103
172,10147029@N08,1495376340,3,Transport,104
173,10147029@N08,1495377209,3,Transport,104
174,10147029@N08,1495377334,3,Transport,104
175,10147029@N08,1495535952,30,Museum,105
176,10147029@N08,1495535969,30,Museum,105
177,10147029@N08,1495540925,30,Museum,105
178,101485105@N07,1490652797,28,Transport,108
179,101485105@N07,1490652977,28,Transport,108
180,101485105@N07,1506168573,5,Entertainment,109
181,101485105@N07,1506168623,5,Entertainment,109
182,101485105@N07,1506168984,5,Entertainment,109
183,101485105@N07,1506169022,5,Entertainment,109
184,101485105@N07,1506169116,5,Entertainment,109
185,101485105@N07,1506169452,5,Entertainment,109
186,101485105@N07,1506169483,5,Entertainment,109
187,101485105@N07,1506169818,5,Entertainment,109
188,101485105@N07,1506170141,5,Entertainment,109
189,101485105@N07,1506170158,5,Entertainment,109
190,101485105@N07,1506170279,5,Entertainment,109
191,101485105@N07,1506171352,5,Entertainment,109
192,101485105@N07,1506171620,5,Entertainment,109
193,101485105@N07,1506171820,5,Entertainment,109
194,101599161@N06,1528217513,3,Transport,112
195,101599161@N06,1528219389,3,Transport,112
196,101677044@N07,1511808480,26,Shopping,114
197,101677044@N07,1511808851,26,Shopping,114
198,101677044@N07,1511808926,26,Shopping,114
199,101677044@N07,1517092873,26,Shopping,115
200,101677044@N07,1517093147,26,Shopping,115
201,101677044@N07,1517093179,26,Shopping,115
202,101677044@N07,1517093228,26,Shopping,115
203,101677044@N07,1517093543,26,Shopping,115
204,101677044@N07,1517093582,26,Shopping,115
205,101677044@N07,1517093843,26,Shopping,115
206,101677044@N07,1517093898,26,Shopping,115
207,101677044@N07,1517093926,26,Shopping,115
208,101677044@N07,1517093958,26,Shopping,115
209,101677044@N07,1517093980,26,Shopping,115
210,101677044@N07,1517094051,26,Shopping,115
211,101677044@N07,1517094286,26,Shopping,115
212,101767795@N08,1491751634,5,Entertainment,121
213,101767795@N08,1491751985,5,Entertainment,121
214,101767795@N08,1491752031,5,Entertainment,121
215,101767795@N08,1495901942,24,Museum,122
216,101767795@N08,1495902746,24,Museum,122
217,101767795@N08,1495902814,24,Museum,122
218,101767795@N08,1495903233,24,Museum,122
219,101767795@N08,1495903334,24,Museum,122
220,101767795@N08,1495903358,24,Museum,122
221,101830676@N05,1512206052,26,Shopping,127
222,101830676@N05,1512206335,26,Shopping,127
223,101830676@N05,1517055983,26,Shopping,129
224,101830676@N05,1517056177,26,Shopping,129
225,101830676@N05,1523134850,26,Shopping,130
226,101830676@N05,1523139994,26,Shopping,130
227,101830676@N05,1525777963,26,Shopping,131
228,101830676@N05,1525777974,26,Shopping,131
229,101830676@N05,1543661226,26,Shopping,137
230,101830676@N05,1543661264,26,Shopping,137
231,101875654@N07,1500251784,3,Transport,138
232,101875654@N07,1500251785,3,Transport,138
233,101875654@N07,1500251788,3,Transport,138
234,101875654@N07,1500251794,3,Transport,138
235,10188381@N08,1505656004,2,Museum,139
236,10188381@N08,1505656244,2,Museum,139
237,10188381@N08,1505656609,2,Museum,139
238,10188381@N08,1505656724,2,Museum,139
239,10188381@N08,1505656881,2,Museum,139
240,10188381@N08,1505656912,2,Museum,139
241,10188381@N08,1505658802,2,Museum,139
242,10188381@N08,1505670038,6,Shopping,139
243,10188381@N08,1505670074,6,Shopping,139
244,10188381@N08,1505670110,6,Shopping,139
245,10188381@N08,1505670257,6,Shopping,139
246,10188381@N08,1505670640,6,Shopping,139
247,10188381@N08,1505670856,6,Shopping,139
248,10188381@N08,1505670865,6,Shopping,139
249,10188381@N08,1505671170,6,Shopping,139
250,10188381@N08,1505671299,6,Shopping,139
251,10188381@N08,1505671343,6,Shopping,139
252,10188381@N08,1505671481,6,Shopping,139
253,10188381@N08,1505671742,6,Shopping,139
254,10188381@N08,1505671982,6,Shopping,139
255,10188381@N08,1505672824,6,Shopping,139
256,10188381@N08,1505673042,6,Shopping,139
257,10188381@N08,1505673570,6,Shopping,139
258,10188381@N08,1505690111,3,Transport,140
259,10188381@N08,1505690216,3,Transport,140
260,10188381@N08,1505690230,3,Transport,140
261,10188381@N08,1505690333,3,Transport,140
262,10188381@N08,1505690435,3,Transport,140
263,10210996@N04,1506192909,16,Precinct,149
264,10210996@N04,1506193078,16,Precinct,149
265,10210996@N04,1506282713,1,Entertainment,150
266,10210996@N04,1506285622,1,Entertainment,150
267,10210996@N04,1506285897,1,Entertainment,150
268,10210996@N04,1506285965,1,Entertainment,150
269,10221816@N05,1507150686,18,Museum,152
270,10221816@N05,1507150875,18,Museum,152
271,10221816@N05,1507150881,18,Museum,152
272,10221816@N05,1507152470,18,Museum,152
273,10221816@N05,1507154890,18,Museum,152
274,10221816@N05,1507154897,18,Museum,152
275,102284959@N03,1487890172,3,Transport,154
276,102284959@N03,1487890958,3,Transport,154
277,10246637@N04,1485348894,30,Museum,161
278,10246637@N04,1485349077,30,Museum,161
279,10246637@N04,1485351213,30,Museum,161
280,10246637@N04,1485351391,30,Museum,161
281,10246637@N04,1485351797,30,Museum,161
282,10246637@N04,1485353049,30,Museum,161
283,10246637@N04,1485353187,30,Museum,161
284,10246637@N04,1485353713,30,Museum,161
285,10246637@N04,1485355513,30,Museum,161
286,10246637@N04,1485446439,30,Museum,162
287,10246637@N04,1485446518,30,Museum,162
288,10246637@N04,1485446539,30,Museum,162
289,10246637@N04,1485446563,30,Museum,162
290,10246637@N04,1485979088,30,Museum,163
291,10246637@N04,1485979209,30,Museum,163
292,10246637@N04,1485979913,30,Museum,163
293,10246637@N04,1485980489,30,Museum,163
294,10246637@N04,1485980751,30,Museum,163
295,10246637@N04,1488233621,30,Museum,165
296,10246637@N04,1488233888,30,Museum,165
297,10246637@N04,1488234145,30,Museum,165
298,10246637@N04,1488234217,30,Museum,165
299,10246637@N04,1488234440,30,Museum,165
300,10246637@N04,1489009232,30,Museum,166
301,10246637@N04,1489011000,30,Museum,166
302,10246637@N04,1489011249,30,Museum,166
303,10246637@N04,1489011786,30,Museum,166
304,10246637@N04,1489012596,30,Museum,166
305,10246637@N04,1489408234,30,Museum,167
306,10246637@N04,1489408240,30,Museum,167
307,10246637@N04,1489414704,30,Museum,167
308,10246637@N04,1489415373,30,Museum,167
309,10246637@N04,1489415647,30,Museum,167
310,10246637@N04,1489415712,30,Museum,167
311,10246637@N04,1489415834,30,Museum,167
312,10246637@N04,1489416798,30,Museum,167
313,10246637@N04,1489419551,30,Museum,167
314,10246637@N04,1489420469,30,Museum,167
315,10246637@N04,1492629709,30,Museum,170
316,10246637@N04,1492629736,30,Museum,170
317,10246637@N04,1500298122,30,Museum,172
318,10246637@N04,1500303852,30,Museum,172
319,10246637@N04,1500309843,30,Museum,172
320,10246637@N04,1500311410,30,Museum,172
321,10246637@N04,1500316120,30,Museum,172
322,10246637@N04,1500318499,30,Museum,172
323,10246637@N04,1500321912,30,Museum,172
324,10246637@N04,1500918748,30,Museum,173
325,10246637@N04,1500919753,30,Museum,173
326,10246637@N04,1500920027,30,Museum,173
327,10246637@N04,1500920964,30,Museum,173
328,10246637@N04,1500921981,30,Museum,173
329,10246637@N04,1500922070,30,Museum,173
330,10246637@N04,1500922410,30,Museum,173
331,10246637@N04,1500923014,30,Museum,173
332,10246637@N04,1500923791,30,Museum,173
333,10246637@N04,1511988431,30,Museum,175
334,10246637@N04,1511988580,30,Museum,175
335,10246637@N04,1511989248,30,Museum,175
336,10246637@N04,1511991159,30,Museum,175
337,10246637@N04,1512411781,30,Museum,177
338,10246637@N04,1512414295,30,Museum,177
339,10246637@N04,1515410871,30,Museum,182
340,10246637@N04,1515431742,30,Museum,182
341,10246637@N04,1516128369,30,Museum,184
342,10246637@N04,1516132270,30,Museum,184
343,10246637@N04,1516134716,30,Museum,184
344,10246637@N04,1516134904,30,Museum,184
345,10246637@N04,1516135355,30,Museum,184
346,10246637@N04,1516135809,30,Museum,184
347,10246637@N04,1516712736,30,Museum,186
348,10246637@N04,1516713119,30,Museum,186
349,10246637@N04,1516713267,30,Museum,186
350,10246637@N04,1516713554,30,Museum,186
351,10246637@N04,1516713808,30,Museum,186
352,10246637@N04,1516714376,30,Museum,186
353,10246637@N04,1516716936,30,Museum,186
354,10246637@N04,1516717054,30,Museum,186
355,10246637@N04,1516718705,30,Museum,186
356,10246637@N04,1518008200,30,Museum,188
357,10246637@N04,1518024393,30,Museum,188
358,10246637@N04,1518024503,30,Museum,188
359,10246637@N04,1518025390,30,Museum,188
360,10246637@N04,1518025829,30,Museum,188
361,10246637@N04,1518026219,30,Museum,188
362,10246637@N04,1518026368,30,Museum,188
363,10246637@N04,1518029092,30,Museum,188
364,10246637@N04,1523308542,30,Museum,193
