photoID,userID,dateTaken,poiID,poiTheme,seqID
1,10006319@N00,1501337163,6,Museum,7
2,10006319@N00,1501337709,6,Museum,7
3,10006319@N00,1501338991,6,Museum,7
4,10006319@N00,1512573475,15,Museum,10
5,10006319@N00,1512573514,15,Museum,10
6,10006319@N00,1512675198,1,Historical,11
7,10006319@N00,1512675514,1,Historical,11
8,10006319@N00,1522253652,11,Museum,16
9,10006319@N00,1522253727,11,Museum,16
10,10006319@N00,1522253952,11,Museum,16
11,10006319@N00,1522327859,20,Museum,17
12,10006319@N00,1522327898,20,Museum,17
13,10006319@N00,1533045875,14,Museum,19
14,10006319@N00,1533045946,14,Museum,19
15,10006319@N00,1533046188,14,Museum,19
16,10006319@N00,1533048443,14,Museum,19
17,10006319@N00,1533048485,14,Museum,19
18,10006319@N00,1533053051,14,Museum,19
19,10006319@N00,1533218775,25,Transport,21
20,10006319@N00,1533218797,25,Transport,21
21,10006319@N00,1544111473,24,Museum,23
22,10006319@N00,1544112144,24,Museum,23
23,10006319@N00,1544190166,24,Museum,24
24,10006319@N00,1544192969,24,Museum,24
25,100183713@N05,1490293916,6,Museum,28
26,100183713@N05,1490293921,6,Museum,28
27,10032596@N00,1486471457,2,Park,31
28,10032596@N00,1486471695,2,Park,31
29,10032596@N00,1486472435,13,Palace,31
30,10032596@N00,1486472670,13,Palace,31
31,10032596@N00,1486472875,13,Palace,31
32,10032596@N00,1486473021,13,Palace,31
33,10032596@N00,1486475147,13,Palace,31
34,10032596@N00,1486475227,13,Palace,31
35,100380901@N07,1508007952,5,Palace,34
36,100380901@N07,1508007969,5,Palace,34
37,100380901@N07,1508008006,5,Palace,34
38,100380901@N07,1508008016,5,Palace,34
39,100380901@N07,1508008037,5,Palace,34
40,100380901@N07,1508008042,5,Palace,34
41,100380901@N07,1508008048,5,Palace,34
42,100380901@N07,1508008257,5,Palace,34
43,100380901@N07,1508008298,5,Palace,34
44,100386163@N04,1498587851,4,Museum,36
45,100386163@N04,1498588103,4,Museum,36
46,10065600@N02,1521324085,7,Museum,46
47,10065600@N02,1521324093,7,Museum,46
48,10065600@N02,1521324108,7,Museum,46
49,100824988@N07,1495655899,24,Museum,49
50,100824988@N07,1495656127,24,Museum,49
51,100824988@N07,1495656628,24,Museum,49
52,100824988@N07,1495656628,24,Museum,49
53,100824988@N07,1495656782,24,Museum,49
54,100824988@N07,1495656793,24,Museum,49
55,100824988@N07,1495656869,24,Museum,49
56,100824988@N07,1495656888,24,Museum,49
57,100824988@N07,1495656904,24,Museum,49
58,100824988@N07,1495656907,24,Museum,49
59,100824988@N07,1495656911,24,Museum,49
60,100824988@N07,1495657046,24,Museum,49
61,100824988@N07,1495657148,24,Museum,49
62,100824988@N07,1495657189,24,Museum,49
63,100824988@N07,1495657195,24,Museum,49
64,100824988@N07,1495657207,24,Museum,49
65,100824988@N07,1495657305,24,Museum,49
66,100824988@N07,1495657315,24,Museum,49
67,100824988@N07,1495657442,24,Museum,49
68,100824988@N07,1495657503,24,Museum,49
69,100824988@N07,1495657560,24,Museum,49
70,100824988@N07,1495657635,24,Museum,49
71,100824988@N07,1495657958,24,Museum,49
72,100824988@N07,1495657960,24,Museum,49
73,100824988@N07,1495657994,24,Museum,49
74,100824988@N07,1495658018,24,Museum,49
75,100824988@N07,1495658019,24,Museum,49
76,100824988@N07,1495658031,24,Museum,49
77,100824988@N07,1495658046,24,Museum,49
78,100824988@N07,1495658058,24,Museum,49
79,100824988@N07,1495658062,24,Museum,49
80,100824988@N07,1495658097,24,Museum,49
81,100824988@N07,1495658107,24,Museum,49
82,100824988@N07,1495658122,24,Museum,49
83,100824988@N07,1495658124,24,Museum,49
84,100824988@N07,1495658130,24,Museum,49
85,100824988@N07,1495658141,24,Museum,49
86,100824988@N07,1495658156,24,Museum,49
87,100824988@N07,1495658179,24,Museum,49
88,100824988@N07,1495658184,24,Museum,49
89,100824988@N07,1495658206,24,Museum,49
90,100824988@N07,1495658210,24,Museum,49
91,100824988@N07,1495658251,24,Museum,49
92,100824988@N07,1495658257,24,Museum,49
93,100824988@N07,1495658263,24,Museum,49
94,100824988@N07,1495658278,24,Museum,49
95,100824988@N07,1495658313,24,Museum,49
96,100824988@N07,1495658315,24,Museum,49
97,100824988@N07,1495658339,24,Museum,49
98,100824988@N07,1495658358,24,Museum,49
99,100824988@N07,1495658383,24,Museum,49
100,100824988@N07,1495658387,24,Museum,49
101,100824988@N07,1495658398,24,Museum,49
102,100824988@N07,1495658930,24,Museum,49
103,100824988@N07,1495658973,24,Museum,49
104,100824988@N07,1495659006,24,Museum,49
105,101111171@N07,1526411307,12,Zoo,54
106,101111171@N07,1526415611,12,Zoo,54
107,101160018@N06,1505306893,26,Museum,55
108,101160018@N06,1505306935,26,Museum,55
109,101160018@N06,1505307082,26,Museum,55
110,101160018@N06,1505308149,5,Palace,55
111,101160018@N06,1505308271,5,Palace,55
112,101160018@N06,1505308294,5,Palace,55
113,101160018@N06,1505308342,5,Palace,55
114,101160018@N06,1505308999,5,Palace,55
115,101160018@N06,1505309389,5,Palace,55
116,101160018@N06,1505309884,5,Palace,55
117,101160018@N06,1505310020,5,Palace,55
118,101160018@N06,1505327960,7,Museum,55
119,101160018@N06,1505330020,7,Museum,55
120,101160018@N06,1505330491,7,Museum,55
121,101160018@N06,1505330929,7,Museum,55
122,101160018@N06,1505330944,7,Museum,55
123,101160018@N06,1505331037,7,Museum,55
124,101160018@N06,1505331367,7,Museum,55
